attraction_name,district,category,recorded_years,latest_year
Air Orchids แอร์ออร์คิดส์,บางเลน,นันทนาการและพักผ่อน,"2563, 2564, 2565",2565
Bubble in the forest,สามพราน,นันทนาการและพักผ่อน,2569,2569
Dubua Café,นครชัยศรี,เกษตรกรรม,2569,2569
Koi Fish Thailand Farm (ฟาร์มปลาคาร์ป),สามพราน,นันทนาการและพักผ่อน,2569,2569
Pathom Organic Village,สามพราน,นันทนาการและพักผ่อน,2569,2569
The old house Bang Luang market,บางเลน,นันทนาการและพักผ่อน,2569,2569
กระเพราสำนักสงฆ์ดอนกระเพรา,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
คลองมหาสวัสดิ์,พุทธมณฑล,เกษตรกรรม,"2563, 2564, 2565",2565
ชุมชนดอนรวก,ดอนตูม,เกษตรกรรม,2569,2569
ชุมชนบ้านศาลาดิน,พุทธมณฑล,เกษตรกรรม,2569,2569
ชุมชนบ้านหัวอ่าว,สามพราน,เกษตรกรรม,"2563, 2564, 2565",2565
ชุมชนเกษตรอินทรีย์คลองโยง,พุทธมณฑล,เกษตรกรรม,2569,2569
ตลาดคุณาวรรณ,กำแพงแสน,ธรรมชาติ,2569,2569
ตลาดท่านา,นครชัยศรี,นันทนาการและพักผ่อน,"2563, 2564, 2565",2565
ตลาดบางหลวง ร.ศ.122,บางเลน,นันทนาการและพักผ่อน,"2563, 2564, 2565",2565
ตลาดบางหลวงร.ศ.122,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ตลาดน้ำดอนหวาย,สามพราน,นันทนาการและพักผ่อน,"2563, 2564, 2565",2565
ตลาดน้ำทุ่งบัวแดง,บางเลน,นันทนาการและพักผ่อน,"2563, 2564, 2565",2565
ตลาดน้ำทุ่งบัวแดง,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ตลาดน้ำวัดกลางคูเวียง,นครชัยศรี,นันทนาการและพักผ่อน,2569,2569
ตลาดน้ำวัดดอนหวาย,สามพราน,นันทนาการและพักผ่อน,2569,2569
ตลาดน้ำวัดลำพญา,บางเลน,นันทนาการและพักผ่อน,2569,2569
ตลาดน้ำลำพญา,บางเลน,นันทนาการและพักผ่อน,"2563, 2564, 2565, 2569",2569
ตลาดสุขใจ Sookjai Farmer’s Market,สามพราน,นันทนาการและพักผ่อน,2569,2569
ตลาดเก่าก๊กพระยา,บางเลน,นันทนาการและพักผ่อน,"2563, 2564, 2565, 2569",2569
ตลาดเกาะเเรต,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ตลาดโต้รุ่ง,เมืองนครปฐม,นันทนาการและพักผ่อน,"2563, 2564, 2565",2565
ตลาดโต้รุ่ง องค์พระปฐมเจดีย์,เมืองนครปฐม,นันทนาการและพักผ่อน,2569,2569
ตลาดโบราณ 100 ปี รางกระทุ่ม,บางเลน,นันทนาการและพักผ่อน,2569,2569
ถนนคนเดิน วัดพระงาม,เมืองนครปฐม,นันทนาการและพักผ่อน,2569,2569
ถนนคนเดินทวารวดี,เมืองนครปฐม,นันทนาการและพักผ่อน,"2563, 2564, 2565",2565
ถนนชมพูพันธุ์ทิพย์,กำแพงแสน,ธรรมชาติ,"2563, 2564, 2565",2565
ธรรมสถานเจือด้วยบุญ,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ทุ่งธรรมนา ศูนย์การเรียนรู้เกษตรอินทรีและฟาร์มชุมชมชน,สามพราน,นันทนาการและพักผ่อน,"2563, 2564, 2565, 2569",2569
นาบัวลุงแจ่ม,พุทธมณฑล,เกษตรกรรม,2569,2569
นิตาธร ทะเลน้ำจืด,กำแพงแสน,นันทนาการและพักผ่อน,"2563, 2564, 2565, 2569",2569
บิ๊กซีนครปฐม,เมืองนครปฐม,นันทนาการและพักผ่อน,2569,2569
บ้านกลับหัว,สามพราน,ศิลปะและวิทยาการ,"2563, 2564, 2565",2565
บ้านขุนแก้ว ตำนานขนมเปี๊ยะ,นครชัยศรี,นันทนาการและพักผ่อน,2569,2569
บ้านฟักข้าว,พุทธมณฑล,เกษตรกรรม,2569,2569
บ้านรังนกThe Happy Nest,บางเลน,นันทนาการและพักผ่อน,2569,2569
บ้านโรงหวด,นครชัยศรี,นันทนาการและพักผ่อน,2569,2569
บ้านศาลาดิน,พุทธมณฑล,เกษตรกรรม,"2563, 2564, 2565",2565
บ้านสวนปรีดา,สามพราน,นันทนาการและพักผ่อน,2569,2569
ป่าศรัทธาธรรม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
พระมหาพุทธพิมพ์นาคปรก “ปกเกล้า ปกแผ่นดิน”,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
พระราชวังสนามจันทร์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565",2565
พระวิหารเทวสถิตย์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
พิพิธภัณฑ์คณะฟุตบอลแห่งสยาม,เมืองนครปฐม,ศิลปะและวิทยาการ,2569,2569
พิพิธภัณฑ์ภาพยนตร์ไทย,พุทธมณฑล,ศิลปะและวิทยาการ,"2563, 2564, 2565",2565
พิพิธภัณฑ์วัดท่าพูด,สามพราน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
พิพิธภัณฑ์สถานแห่งชาติพระปฐม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565",2565
