attraction_name,district,category,rating,review_count,popularity_tier,recorded_years,latest_year
องค์พระปฐมเจดีย์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,4.7,12500,High,"2563, 2564, 2565, 2569",2569
วัดไร่ขิงพระอารามหลวง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,4.6,7500,High,"2563, 2564, 2565, 2569",2569
พระราชวังสนามจันทร์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,4.6,6800,High,"2563, 2564, 2565",2565
ตลาดน้ำดอนหวาย,สามพราน,นันทนาการและพักผ่อน,4.4,9200,High,"2563, 2564, 2565",2565
ตลาดน้ำวัดดอนหวาย,สามพราน,นันทนาการและพักผ่อน,4.4,9200,High,2569,2569
พุทธมณฑล,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,4.6,8400,High,"2563, 2564, 2565",2565
สวนพุทธมณฑล,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,4.6,8400,High,2569,2569
เซ็นทรัล ศาลายา,สามพราน,นันทนาการและพักผ่อน,4.4,8200,High,2569,2569
Bubble in the forest,สามพราน,นันทนาการและพักผ่อน,4.2,5200,High,2569,2569
วัดดอนขนาก,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,4.7,4900,High,2569,2569
ตลาดโต้รุ่ง องค์พระปฐมเจดีย์,เมืองนครปฐม,นันทนาการและพักผ่อน,4.4,4800,High,2569,2569
เซ็นทรัลนครปฐม,เมืองนครปฐม,นันทนาการและพักผ่อน,4.5,4500,High,2569,2569
วัดศีรษะทอง,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,4.6,4300,High,"2563, 2564, 2565, 2569",2569
ตลาดน้ำลำพญา,บางเลน,นันทนาการและพักผ่อน,4.3,4100,High,"2563, 2564, 2565, 2569",2569
ตลาดน้ำทุ่งบัวแดง,บางเลน,นันทนาการและพักผ่อน,4.3,3900,High,"2563, 2564, 2565",2565
วัดสามพราน,สามพราน,ประวัติศาสตร์และวัฒนธรรม,4.5,3800,High,"2563, 2564, 2565",2565
Dubua Café,นครชัยศรี,เกษตรกรรม,4.4,3700,High,2569,2569
วัดประชาราษฎร์บำรุง (วัดรางหมัน),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,4.7,3600,High,"2563, 2564, 2565, 2569",2569
สวนสามพราน,สามพราน,นันทนาการและพักผ่อน,4.4,3500,High,"2563, 2564, 2565, 2569",2569
วัดบางพระ,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,4.6,3200,High,"2563, 2564, 2565, 2569",2569
วัดสว่างอารมณ์ (แคแถว) หลวงพ่อแป๊ะ,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,4.6,3100,High,2569,2569
ลานแสดงช้างและฟาร์มจระเข้สามพราน,สามพราน,นันทนาการและพักผ่อน,4.3,3100,High,"2563, 2564, 2565, 2569",2569
เจษฎาเทคนิค มิวเซียม,นครชัยศรี,ศิลปะและวิทยาการ,4.5,2900,High,"2563, 2564, 2565",2565
Air Orchids แอร์ออร์คิดส์,บางเลน,นันทนาการและพักผ่อน,4.4,2600,High,"2563, 2564, 2565",2565
พิพิธภัณฑ์หุ่นขี้ผึ้งไทย,นครชัยศรี,ศิลปะและวิทยาการ,4.4,2400,Medium,"2563, 2564, 2565, 2569",2569
วัดสี่แยกเจริญพร,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,4.6,2200,Medium,"2563, 2564, 2565, 2569",2569
ถนนชมพูพันธุ์ทิพย์,กำแพงแสน,ธรรมชาติ,4.4,1900,Medium,"2563, 2564, 2565",2565
อุโมงค์ชมพูพันธุ์ทิพย์,กำแพงแสน,ธรรมชาติ,4.4,1900,Medium,2569,2569
พิพิธภัณฑ์ภาพยนตร์ไทย,พุทธมณฑล,ศิลปะและวิทยาการ,4.6,1800,Medium,"2563, 2564, 2565",2565
หอภาพยนต์ องค์การมหาชน,พุทธมณฑล,ศิลปะและวิทยาการ,4.6,1800,Medium,2569,2569
วู้ดแลนด์ เมืองไม้,นครชัยศรี,ศิลปะและวิทยาการ,4.3,1400,Medium,"2563, 2564, 2565",2565
วัดกลางบางแก้ว,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,4.6,1700,Medium,"2563, 2564, 2565, 2569",2569
วัดไร่แตงทอง,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,4.5,1600,Medium,"2563, 2564, 2565, 2569",2569
วัดใหม่สุปดิษฐาราม,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,4.5,1500,Medium,"2563, 2564, 2565, 2569",2569
ตลาดท่านา,นครชัยศรี,นันทนาการและพักผ่อน,4.2,1300,Medium,"2563, 2564, 2565",2565
ตลาดบางหลวง ร.ศ.122,บางเลน,นันทนาการและพักผ่อน,4.3,1200,Medium,"2563, 2564, 2565",2565
วัดพระประโทณเจดีย์วรวิหาร,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,4.5,1100,Medium,"2563, 2564, 2565, 2569",2569
วัดดอนยายหอม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,4.6,1050,Medium,2569,2569
วัดเจริญราษฎร์บำรุง (วัดหนองพงนก),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,4.6,980,Medium,"2563, 2564, 2565, 2569",2569
วัดสามง่าม (วัดอรัญญิการาม),ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,4.5,920,Medium,"2563, 2564, 2565, 2569",2569
วัดปลักไม้ลาย,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,4.4,750,Medium,"2563, 2564, 2565, 2569",2569
วัดไผ่ล้อม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,4.5,880,Medium,"2563, 2564, 2565, 2569",2569
วัดป่าปฐมชัย,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,4.6,650,Medium,"2563, 2564, 2565, 2569",2569
ตลาดโบราณ 100 ปี รางกระทุ่ม,บางเลน,นันทนาการและพักผ่อน,4.2,580,Medium,2569,2569
อุทยานธรรมชาติวิทยาสิรีรุกขชาติ (มหาลัยมหิดล),พุทธมณฑล,ธรรมชาติ,4.5,540,Medium,"2563, 2564, 2565, 2569",2569
ชุมชนบ้านศาลาดิน,พุทธมณฑล,เกษตรกรรม,4.4,520,Medium,2569,2569
คลองมหาสวัสดิ์,พุทธมณฑล,เกษตรกรรม,4.3,490,Low,"2563, 2564, 2565",2565
เกาะลัดอีแท่น,สามพราน,เกษตรกรรม,4.3,420,Low,"2563, 2564, 2565, 2569",2569
ชุมชนบ้านหัวอ่าว,สามพราน,เกษตรกรรม,4.4,380,Low,"2563, 2564, 2565",2565
สามพรานโมเดล,สามพราน,เกษตรกรรม,4.4,450,Low,2569,2569
นาบัวลุงแจ่ม,พุทธมณฑล,เกษตรกรรม,4.4,360,Low,2569,2569
สวนส้มโอนครชัยศรีลุงแดง,นครชัยศรี,เกษตรกรรม,4.3,280,Low,2569,2569
สวนอินทผลัมวัฒนา,ดอนตูม,เกษตรกรรม,4.3,220,Low,2569,2569
ฟาร์มไส้เดือนนาน้อย,บางเลน,ธรรมชาติ,4.2,190,Low,2569,2569
อุโมงค์ยูคาลิปตัส เกษตร กำแพงแสน,กำแพงแสน,ธรรมชาติ,4.3,310,Low,2569,2569
ลานกางเต็นท์แคมป์เปอร์ฟิลด์,กำแพงแสน,ธรรมชาติ,4.3,290,Low,2569,2569
อุทยานแมลงเฉลิมพระเกียรติ,กำแพงแสน,ธรรมชาติ,4.2,350,Low,"2563, 2564, 2565, 2569",2569
ตลาดคุณาวรรณ,กำแพงแสน,ธรรมชาติ,4.1,240,Low,2569,2569
สวนน้ำหนองกระทุ่ม,กำแพงแสน,ธรรมชาติ,4.0,210,Low,2569,2569
สวนนกยูง สามพราน,สามพราน,นันทนาการและพักผ่อน,4.2,430,Low,2569,2569
สวนลุงบุญ ริมน้ำท่าจีน,สามพราน,นันทนาการและพักผ่อน,4.3,340,Low,2569,2569
บ้านสวนปรีดา,สามพราน,นันทนาการและพักผ่อน,4.2,260,Low,2569,2569
บ้านโรงหวด,นครชัยศรี,นันทนาการและพักผ่อน,4.2,180,Low,2569,2569
สยามหาดทรายขาว,นครชัยศรี,นันทนาการและพักผ่อน,4.1,480,Low,2569,2569
