ปี,อำเภอ,ประเภทแหล่งท่องเที่ยว,แหล่งท่องเที่ยว,หน่วย
2563,นครชัยศรี,แหล่งท่องเที่ยวเชิงวัฒนธรรม,วัดศีรษะทอง,แห่ง
2563,นครชัยศรี,แหล่งท่องเที่ยวเชิงวัฒนธรรม,วัดบางพระ,แห่ง
2563,นครชัยศรี,แหล่งท่องเที่ยวเชิงวัฒนธรรม,วัดกลางบางพระ,แห่ง
2563,นครชัยศรี,แหล่งท่องเที่ยวเชิงวัฒนธรรม,วัดกลางบางแก้ว,แห่ง
2563,นครชัยศรี,แหล่งท่องเที่ยวเชิงวัฒนธรรม,วัดสว่างอารมณ์,แห่ง
2563,นครชัยศรี,แหล่งท่องเที่ยวเชิงวัฒนธรรม,วังนาคินทร์ นครชัยศรี,แห่ง
2563,สามพราน,แหล่งท่องเที่ยวเชิงศิลปะวิทยาการ,บ้านกลับหัว,แห่ง
2563,นครชัยศรี,แหล่งท่องเที่ยวเชิงศิลปะวิทยาการ,พิพิธภัณฑ์หุ่นขี้ผึ้งไทย,แห่ง
2563,นครชัยศรี,แหล่งท่องเที่ยวเชิงศิลปะวิทยาการ,เจษฎาเทคนิค มิวเซียม,แห่ง
2563,นครชัยศรี,แหล่งท่องเที่ยวเชิงศิลปะวิทยาการ,วู้ดแลนด์ เมืองไม้,แห่ง
2563,พุทธมณฑล,แหล่งท่องเที่ยวเชิงศิลปะวิทยาการ,พิพิธภัณฑ์ภาพยนตร์ไทย,แห่ง
2563,เมือง,แหล่งท่องเที่ยวเชิงเกษตร,ศูนย์การเรียนรู้ภูมิปัญญาไทย ปิยะชนก,แห่ง
2563,เมือง,แหล่งท่องเที่ยวเชิงเกษตร,วิสาหกิจชุมชนเกษตรเมืองนครปฐม (ไผ่ตอง),แห่ง
2563,สามพราน,แหล่งท่องเที่ยวเชิงเกษตร,ชุมชนบ้านหัวอ่าว,แห่ง
2563,สามพราน,แหล่งท่องเที่ยวเชิงเกษตร,เกาะลัดอีแท่น,แห่ง
2563,พุทธมณฑล,แหล่งท่องเที่ยวเชิงเกษตร,คลองมหาสวัสดิ์,แห่ง
2563,พุทธมณฑล,แหล่งท่องเที่ยวเชิงเกษตร,บ้านศาลาดิน,แห่ง
2563,กำแพงแสน,แหล่งท่องเที่ยวเชิงธรรมชาติ,อุทยานแมลงเฉลิมพระเกียรติ,แห่ง
